STT,Thuong hieu,Loai,Noi dung,Nguon (URL),Ngay bao cao
1,"Viện thẩm mỹ KangJin Sejung","Tin xau","Tháng 6/2024, Sở Y tế TP.HCM phạt KangJin 30 triệu đồng (QĐ 223/QĐXPVPHC) vì vi phạm quảng cáo dịch vụ y tế trái phép tại 383 Điện Biên Phủ.","https://thuongtruong.com.vn/news/tham-my-vien-kangjin-vi-pham-quy-dinh-phap-luat-ve-kham-chua-benh-90395.html",2026-05-26
1,"Viện thẩm mỹ KangJin Sejung","Tin xau","Tháng 9/2024, Thanh tra Sở Y tế Hà Nội xử phạt KangJin vì không niêm yết giá dịch vụ theo quy định.","https://sohuutritue.net.vn/tham-my-vien-kangjin-tiep-tuc-bi-xu-phat-d149698.html",2026-05-26
1,"Viện thẩm mỹ KangJin Sejung","Tin xau","Nhiều nguồn phản ánh KangJin quảng cáo sai sự thật, dùng từ ngữ tuyệt đối 'số 1', 'duy nhất' không có căn cứ pháp lý.","https://vietskin.vn/su-that-vien-tham-my-kangjin-lua-dao-quang-cao-khong-dung/",2026-05-26
1,"Viện thẩm mỹ KangJin Sejung","Bai viet moi","KangJin Sejung tham gia tọa đàm trẻ hóa da quốc tế, giới thiệu công nghệ Collagen Lift Matrix 360.","https://vov.vn/doanh-nghiep/thong-tin-doanh-nghiep/vien-tham-my-kangjin-tham-gia-nhieu-toa-dam-tre-hoa-da-quoc-te-post1135562.vov",2026-05-26
2,"Thanh Hằng Beauty Medi","Tin xau","28/7/2022, Sở Y tế Hà Nội phạt 8 triệu đồng (QĐ 248/QĐ-XPVPHC) Công ty CP Trường Giang (chủ quản Thanh Hằng Beauty Medi) vì hành nghề không đúng thời gian đăng ký.","https://suckhoeviet.org.vn/tham-my-thanh-hang-beauty-medi-bi-so-y-te-xu-phat-do-vi-pham-trong-kham-chua-benh-801.html",2026-05-26
2,"Thanh Hằng Beauty Medi","Tin xau","Thanh Hằng Beauty ngang nhiên quảng cáo thuốc khi chưa được Bộ Y tế cấp phép xác nhận nội dung, vi phạm Luật Quảng cáo.","https://giaoduc.net.vn/thanh-hang-beauty-ngang-nhien-quang-cao-thuoc-khi-chua-duoc-bo-y-te-cap-phep-post167616.gd",2026-05-26
3,"Lavender By Chang","Tin xau","Tháng 4/2025, Sở Y tế TP.HCM phạt Lavender Sài Gòn 30 triệu đồng vì quảng cáo sử dụng từ tuyệt đối không căn cứ (tái phạm sau 45 tr. năm 2023 và 57 tr. năm 2024).","https://kenh14.vn/vien-tham-my-lavender-by-chang-lien-tuc-bi-so-y-te-tphcm-xu-phat-21525042907354422.chn",2026-05-26
3,"Lavender By Chang","Tin xau","Doanh nghiệp của Lý Thùy Chang nợ thuế hơn 1,8 tỷ đồng (cùng loạt cơ sở Korean Star, Sao Hàn, Hedy).","https://taichinhdoanhnghiep.net.vn/loat-tham-my-korean-star--sao-han-lavender-sai-gon-hedy-no-thue-d65534.html",2026-05-26
3,"Lavender By Chang","Tin xau","Lavender By Chang tiếp tục bị xử phạt vì quảng cáo lố, quảng cáo chui và nhiều sai phạm khác.","https://tuoitrethudo.vn/quang-cao-lo-vien-tham-my-lavender-by-chang-tiep-tuc-bi-xu-phat-276191.html",2026-05-26
3,"Lavender By Chang","Bai viet moi","Lavender By Chang: Bí quyết trẻ hóa được dàn sao hạng A tin chọn - bài trên Thể thao Văn hóa 2/3/2026.","https://thethaovanhoa.vn/lavender-by-chang-bi-quyet-tre-hoa-duoc-dan-sao-hang-a-tin-chon-20260302161456345.htm",2026-05-26
